511 200
1 2 L
1 3 R
2 4 L
2 5 R
3 6 L
3 7 R
4 8 L
4 9 R
5 10 L
5 11 R
6 12 L
6 13 R
7 14 L
7 15 R
8 16 L
8 17 R
9 18 L
9 19 R
10 20 L
10 21 R
11 22 L
11 23 R
12 24 L
12 25 R
13 26 L
13 27 R
14 28 L
14 29 R
15 30 L
15 31 R
16 32 L
16 33 R
17 34 L
17 35 R
18 36 L
18 37 R
19 38 L
19 39 R
20 40 L
20 41 R
21 42 L
21 43 R
22 44 L
22 45 R
23 46 L
23 47 R
24 48 L
24 49 R
25 50 L
25 51 R
26 52 L
26 53 R
27 54 L
27 55 R
28 56 L
28 57 R
29 58 L
29 59 R
30 60 L
30 61 R
31 62 L
31 63 R
32 64 L
32 65 R
33 66 L
33 67 R
34 68 L
34 69 R
35 70 L
35 71 R
36 72 L
36 73 R
37 74 L
37 75 R
38 76 L
38 77 R
39 78 L
39 79 R
40 80 L
40 81 R
41 82 L
41 83 R
42 84 L
42 85 R
43 86 L
43 87 R
44 88 L
44 89 R
45 90 L
45 91 R
46 92 L
46 93 R
47 94 L
47 95 R
48 96 L
48 97 R
49 98 L
49 99 R
50 100 L
50 101 R
51 102 L
51 103 R
52 104 L
52 105 R
53 106 L
53 107 R
54 108 L
54 109 R
55 110 L
55 111 R
56 112 L
56 113 R
57 114 L
57 115 R
58 116 L
58 117 R
59 118 L
59 119 R
60 120 L
60 121 R
61 122 L
61 123 R
62 124 L
62 125 R
63 126 L
63 127 R
64 128 L
64 129 R
65 130 L
65 131 R
66 132 L
66 133 R
67 134 L
67 135 R
68 136 L
68 137 R
69 138 L
69 139 R
70 140 L
70 141 R
71 142 L
71 143 R
72 144 L
72 145 R
73 146 L
73 147 R
74 148 L
74 149 R
75 150 L
75 151 R
76 152 L
76 153 R
77 154 L
77 155 R
78 156 L
78 157 R
79 158 L
79 159 R
80 160 L
80 161 R
81 162 L
81 163 R
82 164 L
82 165 R
83 166 L
83 167 R
84 168 L
84 169 R
85 170 L
85 171 R
86 172 L
86 173 R
87 174 L
87 175 R
88 176 L
88 177 R
89 178 L
89 179 R
90 180 L
90 181 R
91 182 L
91 183 R
92 184 L
92 185 R
93 186 L
93 187 R
94 188 L
94 189 R
95 190 L
95 191 R
96 192 L
96 193 R
97 194 L
97 195 R
98 196 L
98 197 R
99 198 L
99 199 R
100 200 L
100 201 R
101 202 L
101 203 R
102 204 L
102 205 R
103 206 L
103 207 R
104 208 L
104 209 R
105 210 L
105 211 R
106 212 L
106 213 R
107 214 L
107 215 R
108 216 L
108 217 R
109 218 L
109 219 R
110 220 L
110 221 R
111 222 L
111 223 R
112 224 L
112 225 R
113 226 L
113 227 R
114 228 L
114 229 R
115 230 L
115 231 R
116 232 L
116 233 R
117 234 L
117 235 R
118 236 L
118 237 R
119 238 L
119 239 R
120 240 L
120 241 R
121 242 L
121 243 R
122 244 L
122 245 R
123 246 L
123 247 R
124 248 L
124 249 R
125 250 L
125 251 R
126 252 L
126 253 R
127 254 L
127 255 R
128 256 L
128 257 R
129 258 L
129 259 R
130 260 L
130 261 R
131 262 L
131 263 R
132 264 L
132 265 R
133 266 L
133 267 R
134 268 L
134 269 R
135 270 L
135 271 R
136 272 L
136 273 R
137 274 L
137 275 R
138 276 L
138 277 R
139 278 L
139 279 R
140 280 L
140 281 R
141 282 L
141 283 R
142 284 L
142 285 R
143 286 L
143 287 R
144 288 L
144 289 R
145 290 L
145 291 R
146 292 L
146 293 R
147 294 L
147 295 R
148 296 L
148 297 R
149 298 L
149 299 R
150 300 L
150 301 R
151 302 L
151 303 R
152 304 L
152 305 R
153 306 L
153 307 R
154 308 L
154 309 R
155 310 L
155 311 R
156 312 L
156 313 R
157 314 L
157 315 R
158 316 L
158 317 R
159 318 L
159 319 R
160 320 L
160 321 R
161 322 L
161 323 R
162 324 L
162 325 R
163 326 L
163 327 R
164 328 L
164 329 R
165 330 L
165 331 R
166 332 L
166 333 R
167 334 L
167 335 R
168 336 L
168 337 R
169 338 L
169 339 R
170 340 L
170 341 R
171 342 L
171 343 R
172 344 L
172 345 R
173 346 L
173 347 R
174 348 L
174 349 R
175 350 L
175 351 R
176 352 L
176 353 R
177 354 L
177 355 R
178 356 L
178 357 R
179 358 L
179 359 R
180 360 L
180 361 R
181 362 L
181 363 R
182 364 L
182 365 R
183 366 L
183 367 R
184 368 L
184 369 R
185 370 L
185 371 R
186 372 L
186 373 R
187 374 L
187 375 R
188 376 L
188 377 R
189 378 L
189 379 R
190 380 L
190 381 R
191 382 L
191 383 R
192 384 L
192 385 R
193 386 L
193 387 R
194 388 L
194 389 R
195 390 L
195 391 R
196 392 L
196 393 R
197 394 L
197 395 R
198 396 L
198 397 R
199 398 L
199 399 R
200 400 L
200 401 R
201 402 L
201 403 R
202 404 L
202 405 R
203 406 L
203 407 R
204 408 L
204 409 R
205 410 L
205 411 R
206 412 L
206 413 R
207 414 L
207 415 R
208 416 L
208 417 R
209 418 L
209 419 R
210 420 L
210 421 R
211 422 L
211 423 R
212 424 L
212 425 R
213 426 L
213 427 R
214 428 L
214 429 R
215 430 L
215 431 R
216 432 L
216 433 R
217 434 L
217 435 R
218 436 L
218 437 R
219 438 L
219 439 R
220 440 L
220 441 R
221 442 L
221 443 R
222 444 L
222 445 R
223 446 L
223 447 R
224 448 L
224 449 R
225 450 L
225 451 R
226 452 L
226 453 R
227 454 L
227 455 R
228 456 L
228 457 R
229 458 L
229 459 R
230 460 L
230 461 R
231 462 L
231 463 R
232 464 L
232 465 R
233 466 L
233 467 R
234 468 L
234 469 R
235 470 L
235 471 R
236 472 L
236 473 R
237 474 L
237 475 R
238 476 L
238 477 R
239 478 L
239 479 R
240 480 L
240 481 R
241 482 L
241 483 R
242 484 L
242 485 R
243 486 L
243 487 R
244 488 L
244 489 R
245 490 L
245 491 R
246 492 L
246 493 R
247 494 L
247 495 R
248 496 L
248 497 R
249 498 L
249 499 R
250 500 L
250 501 R
251 502 L
251 503 R
252 504 L
252 505 R
253 506 L
253 507 R
254 508 L
254 509 R
255 510 L
255 511 R
208
87
250
46
464
82
187
424
30
421
423
72
496
252
152
458
478
350
240
63
167
163
387
100
27
214
468
322
154
374
306
428
117
111
473
389
259
47
267
288
23
77
426
394
204
66
407
170
291
135
108
356
5
494
11
98
196
34
318
349
216
112
141
399
289
1
242
36
434
485
390
355
50
113
304
320
245
8
365
